letter,frequency
0,79
1,14
2,9
3,11
4,11
5,8
6,4
7,7
8,3
9,2
10,1
11,3
12,1
13,1
14,2
16,1
17,1
18,2
19,2
21,1
23,1
25,1
31,1
41,1
44,1
69,1
