letter,frequency
0,52
1,15
2,16
3,22
4,7
5,8
6,11
7,2
8,2
9,3
11,4
12,2
13,1
14,4
15,1
16,3
17,1
18,1
19,1
24,1
25,1
27,1
34,2
46,1
49,1
51,1
57,1
59,1
72,1
99,1
108,1
