letter,frequency
4,2
5,3
6,3
7,3
8,3
9,5
10,5
11,1
12,1
13,3
14,1
15,1
16,3
17,5
18,4
19,4
20,7
21,3
22,2
23,3
24,4
25,6
26,5
27,1
28,3
29,1
30,1
31,1
32,3
33,1
34,1
35,3
37,1
38,3
40,5
41,2
42,2
44,1
45,2
46,1
47,2
48,1
50,3
51,1
52,1
53,1
54,1
55,2
56,2
57,1
59,1
60,2
61,2
62,1
64,4
65,1
67,2
71,1
73,1
76,1
79,1
81,1
83,2
84,1
87,1
91,1
94,1
95,1
96,2
99,1
102,1
103,1
104,1
108,1
117,1
121,2
124,2
135,1
140,1
182,1
184,1
206,1
247,1
248,1
266,1
