letter,frequency
3,2
4,10
5,20
6,13
7,19
8,15
9,16
10,11
11,11
12,9
13,5
14,1
15,3
16,4
17,1
18,4
19,2
20,4
22,3
23,2
24,2
25,1
26,1
27,1
28,2
29,1
31,2
32,1
35,1
39,1
42,1
