letter,frequency
0,84
1,9
2,8
3,7
4,8
5,10
6,5
7,5
8,5
9,3
10,2
11,5
12,2
13,2
14,1
15,4
17,2
20,1
22,1
26,1
32,1
36,1
53,1
55,1
