letter,frequency
11,3
12,4
14,2
16,2
17,2
18,2
19,1
21,1
22,1
23,1
24,1
27,2
28,1
29,1
35,1
38,1
39,1
41,2
43,1
46,1
47,2
48,1
55,2
64,1
71,1
74,1
75,1
77,1
87,1
88,1
125,1
139,1
172,1
222,1
