letter,frequency
0,96
1,4
2,10
3,7
4,5
5,11
6,9
7,3
8,3
9,1
10,2
11,3
12,1
14,1
16,1
17,1
18,3
21,2
23,1
24,1
38,1
41,1
45,1
58,1
