letter,frequency
0,12
1,3
2,3
3,8
4,8
5,10
6,4
7,10
8,7
9,9
10,3
11,4
12,6
13,9
14,6
15,7
16,3
17,1
18,1
19,1
20,3
21,2
22,1
23,2
24,2
25,2
27,1
28,1
29,4
30,2
31,1
32,1
33,1
37,2
38,2
39,2
40,3
41,3
43,1
44,1
45,1
46,1
47,1
49,1
50,1
53,1
58,2
61,2
63,2
69,1
82,2
93,1
101,1
