Project Name,Checkpoint Name,Created On,FileName,Lines,Statements,BranchStatements,LineswithComments,ClassesDefined,ClassMethodsImplemented,MethodStatements,LineNumberofMostComplexFunction,MaximumComplexity,LineNumberofDeepestBlock,MaximumBlockDepth,AverageBlockDepth,AverageComplexity,Functions,Statementsatblocklevel0,Statementsatblocklevel1,Statementsatblocklevel2,Statementsatblocklevel3,Statementsatblocklevel4,Statementsatblocklevel5,Statementsatblocklevel6,Statementsatblocklevel7,Statementsatblocklevel8,Statementsatblocklevel9
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/RunTCPU.cpp,211,103,8,16,0,0,0,31,9,54,3,0.99,9,1,25,58,16,4,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/STSReceiver.cpp,133,67,15,4,0,3,55,77,11,120,5,2.07,6,0,12,12,12,23,6,2,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/TriggerInterface.cpp,207,83,11,16,0,2,74,83,7,188,4,1.87,6.5,0,9,19,33,18,4,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/TTSAssembler.cpp,138,59,9,11,0,4,47,26,8,44,3,1.44,3.25,0,12,16,24,7,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/TTSBuild.cpp,466,248,53,51,0,16,222,295,16,159,6,1.96,4.69,0,26,93,52,41,20,11,5,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/src/TTSManager.cpp,254,102,15,27,0,4,75,151,7,81,4,1.43,3.5,2,16,40,34,10,2,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigRandom/TrigRandom.cpp,36,18,2,2,0,0,0,7,3,18,3,1.17,3,1,6,6,3,3,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigRandom/TrigRandom.h,12,5,0,0,0,0,0,,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigScaler/TrigScaler.cpp,46,26,3,2,0,0,0,9,4,25,3,1.23,4,1,8,9,4,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigScaler/TrigScaler.h,13,5,0,0,0,0,0,,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigSky/Rotation3D.cpp,80,50,3,6,0,3,41,12,4,58,4,0.98,2,0,9,37,1,2,1,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigSky/Rotation3D.h,24,8,0,0,1,0,0,,0,12,1,0.5,0,0,4,4,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigSky/TrigSky.cpp,121,64,10,7,0,3,46,55,10,97,6,1.63,3.75,1,16,20,13,8,3,2,2,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigSky/TrigSky.h,33,15,0,0,1,0,0,,0,16,1,0.47,0,0,8,7,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigTemplate/TrigTemplate.cpp,19,9,0,1,0,0,0,9,1,10,1,0.33,1,1,6,3,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TCPU/trigger_plugins/TrigTemplate/TrigTemplate.h,16,5,0,2,0,0,0,,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/command.hpp,50,26,0,0,2,2,1,15,1,20,2,0.65,1,1,10,15,1,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/command_executor.hpp,25,10,0,2,1,1,0,20,1,14,1,0.3,1,0,7,3,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/command_generator.cpp,131,45,2,2,3,10,22,26,4,36,4,1.67,1.3,0,9,12,11,11,2,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/command_generator.hpp,32,13,0,2,1,0,0,,0,17,1,0.38,0,0,8,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/command_result.hpp,124,48,0,17,2,8,11,14,1,26,2,0.98,1,3,12,25,11,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/context.hpp,40,10,0,11,1,1,0,24,1,30,1,0.3,1,0,7,3,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/events.hpp,74,50,0,1,8,18,9,13,1,14,2,0.92,1,0,13,28,9,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/exception.hpp,18,7,0,0,1,1,0,13,1,13,1,0.14,1,0,6,1,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/local_command_executor.cpp,30,19,2,0,0,3,8,15,3,17,1,0.42,1.67,0,11,8,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/local_command_executor.hpp,25,10,0,1,1,1,0,19,1,11,1,0.5,1,0,5,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/node.cpp,90,51,6,0,0,0,0,9,3,20,3,1.65,2.5,4,9,8,26,8,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/node.hpp,83,57,6,1,1,7,6,73,5,35,2,0.86,1.64,4,20,25,12,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/node_state.hpp,113,30,3,34,2,3,12,51,4,83,4,1.33,1.6,2,9,9,6,5,1,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/popen_utils.cpp,89,42,6,6,2,4,2,28,5,17,3,1.52,2,2,10,6,20,6,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/popen_utils.hpp,14,6,0,0,0,0,0,,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/request.cpp,60,45,12,5,0,0,0,18,15,35,5,1.96,15,1,15,3,5,14,7,1,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/request.hpp,264,124,0,0,15,31,39,19,1,80,2,1.06,1,3,32,53,39,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/ssh_command_executor.cpp,40,20,2,0,0,3,9,15,3,17,1,0.45,1.67,0,11,9,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/ssh_command_executor.hpp,26,10,0,1,1,1,0,20,1,11,1,0.5,1,0,5,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/TSC/ssh_shell.cpp,467,206,55,18,1,25,172,417,9,211,4,1.78,2.5,1,31,63,50,45,17,0,0,0,0,0
