Project Name,Checkpoint Name,Created On,FileName,Lines,Statements,BranchStatements,LineswithComments,ClassesDefined,ClassMethodsImplemented,MethodStatements,LineNumberofMostComplexFunction,MaximumComplexity,LineNumberofDeepestBlock,MaximumBlockDepth,AverageBlockDepth,AverageComplexity,Functions,Statementsatblocklevel0,Statementsatblocklevel1,Statementsatblocklevel2,Statementsatblocklevel3,Statementsatblocklevel4,Statementsatblocklevel5,Statementsatblocklevel6,Statementsatblocklevel7,Statementsatblocklevel8,Statementsatblocklevel9
tridameasures,Baseline,04 Apr 2016,packages/DataFormats/tridas_dataformat.hpp,15,4,0,4,0,0,0,,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Log/log.hpp,168,96,11,1,2,11,35,156,5,61,3,1.46,1.79,3,15,29,45,7,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Log/t_log.cpp,18,9,0,2,0,0,0,6,1,8,1,0.56,1,1,4,5,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/monitoring/monitoring.hpp,345,121,0,59,5,23,41,58,1,65,2,1.08,1,6,31,49,41,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication.hpp,58,25,0,2,1,7,12,17,1,25,2,1.28,1,0,5,8,12,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/controller_worker.hpp,74,26,0,5,2,7,8,20,1,28,2,0.88,1,0,11,7,8,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/producer_consumer.hpp,101,47,4,8,2,11,28,28,2,33,3,1.51,1.36,0,8,11,24,4,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/stream_receiver.hpp,186,76,15,2,1,6,48,107,13,149,5,2.18,2.78,3,12,16,14,21,6,7,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/t_consumer.cpp,26,18,3,0,0,0,0,6,4,20,3,1.39,4,1,5,4,6,3,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/t_consumer_message.cpp,24,16,3,0,0,0,0,6,4,18,3,1.31,4,1,5,4,4,3,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/t_producer.cpp,28,17,3,0,0,0,0,6,4,23,4,1.41,4,1,5,5,3,3,1,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/network/inter_objects_communication/t_stream_receiver.cpp,29,19,4,0,0,0,0,6,5,21,4,1.74,5,1,5,4,3,5,2,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Queue/QueueHandler.h,89,46,4,0,1,8,27,63,3,45,3,1.57,1.5,0,7,12,21,6,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/Queue/QueueMonitor.h,44,20,1,0,2,3,6,33,2,37,3,1,1.33,0,7,7,5,1,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/TimeSlice/SectorTimeSlice.cpp,107,60,13,3,0,8,47,42,6,36,3,1.13,2.63,0,13,31,11,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/TimeSlice/SectorTimeSlice.h,108,53,0,14,2,12,16,38,1,40,2,1.17,1,0,7,30,16,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/TimeSlice/TowerTimeSlice.cpp,56,31,5,0,0,7,19,40,3,43,3,0.84,1.71,0,12,14,3,2,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,packages/TimeSlice/TowerTimeSlice.h,32,20,0,0,1,3,3,17,1,18,2,0.9,1,0,5,12,3,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/frame_parser_p3.cpp,92,42,8,0,0,0,0,11,6,24,3,1.4,5.5,2,9,12,16,5,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/meas_spread.cpp,54,28,8,0,0,0,0,10,10,39,5,2.14,10,1,8,2,4,8,4,2,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/meas_spread.hpp,12,4,0,0,0,0,0,,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/p2_to_p3_converter.cpp,94,52,4,5,0,0,0,15,7,34,3,1.46,7,1,9,12,29,2,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/pt_file_analyser.cpp,64,35,4,0,0,0,0,10,5,30,3,1.29,5,1,7,13,13,2,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/ptfile_reader.cpp,127,56,12,2,0,0,0,82,8,20,3,1.63,7,3,6,15,29,6,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/ptfile_reader.hpp,725,266,9,14,6,69,88,426,3,530,4,1.77,1.07,3,22,82,100,58,4,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/t_ptfilereader.cpp,30,16,1,0,0,0,0,7,2,23,3,1.13,2,1,6,3,6,1,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/time_spread_analyser.cpp,67,32,5,0,0,0,0,10,6,41,3,1.22,6,1,7,13,10,2,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/time_spread_analyser2.cpp,81,38,5,0,0,0,0,30,5,61,3,1.21,3.5,2,9,14,13,2,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,tools/toa.cpp,108,44,5,1,0,0,0,9,6,48,3,1.41,6,1,7,18,13,6,0,0,0,0,0,0
