letter,frequency
0,50
1,9
2,5
3,7
4,9
5,4
6,8
7,1
8,4
9,3
10,3
11,5
12,7
13,5
14,2
15,2
16,4
17,1
18,4
19,1
20,1
21,4
22,2
23,2
24,3
26,2
27,1
28,2
29,2
31,1
32,2
33,1
34,1
39,1
41,1
43,1
45,1
49,1
50,1
52,1
59,1
70,1
73,1
100,1
