letter,frequency
0,423
1,135
2,69
3,62
4,35
5,19
6,23
7,27
8,18
9,12
10,15
11,15
12,6
13,7
14,5
15,4
16,2
17,6
18,5
19,2
20,8
21,5
23,1
24,3
25,2
27,2
28,1
29,1
30,2
31,3
32,2
33,2
34,1
36,1
42,4
45,1
51,1
54,1
55,1
64,1
70,1
71,2
94,1
105,1
107,1
120,1
128,1
