letter,frequency
2,11
5,1
8,3
9,5
10,2
11,4
12,3
13,2
14,4
16,1
17,4
18,6
19,3
20,7
21,3
22,2
23,6
24,3
25,4
26,4
27,5
28,2
29,1
30,3
31,1
32,2
33,3
34,3
35,3
36,5
37,1
39,3
40,1
41,1
43,2
44,1
45,2
46,1
47,1
48,4
49,4
50,2
51,1
53,1
54,1
55,1
56,1
57,2
58,1
61,2
63,1
65,1
73,1
77,1
80,1
81,1
83,1
97,2
105,1
113,1
114,1
116,1
120,1
126,1
143,1
147,1
149,1
155,1
157,1
159,1
164,1
188,1
208,1
211,1
234,1
235,1
336,1
396,1
530,1
